sample_offset,num_samples,watch_ts_ms
645120,1920,1784743657212
647040,1920,1784743657251
648960,1920,1784743657291
650880,1920,1784743657333
652800,1920,1784743657373
654720,1920,1784743657409
656640,1920,1784743657451
658560,1920,1784743657491
660480,1920,1784743657532
662400,1920,1784743657573
664320,1920,1784743657612
666240,1920,1784743657651
668160,1920,1784743657692
670080,1920,1784743657731
672000,1920,1784743657771
673920,1920,1784743657810
675840,1920,1784743657849
677760,1920,1784743657888
679680,1920,1784743657931
681600,1920,1784743657972
683520,1920,1784743658012
685440,1920,1784743658052
687360,1920,1784743658093
689280,1920,1784743658131
691200,1920,1784743658171
693120,1920,1784743658212
695040,1920,1784743658251
696960,1920,1784743658292
698880,1920,1784743658331
700800,1920,1784743658372
702720,1920,1784743658411
704640,1920,1784743658451
706560,1920,1784743658492
708480,1920,1784743658530
710400,1920,1784743658571
712320,1920,1784743658613
714240,1920,1784743658650
716160,1920,1784743658691
718080,1920,1784743658732
720000,1920,1784743658772
721920,1920,1784743658813
723840,1920,1784743658853
725760,1920,1784743658893
727680,1920,1784743658932
729600,1920,1784743658971
731520,1920,1784743659012
733440,1920,1784743659053
735360,1920,1784743659093
737280,1920,1784743659133
739200,1920,1784743659171
741120,1920,1784743659211
743040,1920,1784743659252
744960,1920,1784743659292
746880,1920,1784743659333
748800,1920,1784743659372
750720,1920,1784743659412
752640,1920,1784743659451
754560,1920,1784743659493
756480,1920,1784743659533
758400,1920,1784743659572
760320,1920,1784743659611
762240,1920,1784743659652
764160,1920,1784743659693
766080,1920,1784743659731
768000,1920,1784743659772
769920,1920,1784743659811
771840,1920,1784743659852
773760,1920,1784743659893
775680,1920,1784743659931
777600,1920,1784743659971
779520,1920,1784743660012
781440,1920,1784743660053
783360,1920,1784743660091
785280,1920,1784743660133
787200,1920,1784743660173
789120,1920,1784743660212
791040,1920,1784743660252
792960,1920,1784743660291
794880,1920,1784743660331
796800,1920,1784743660371
798720,1920,1784743660414
800640,1920,1784743660451
802560,1920,1784743660490
804480,1920,1784743660531
806400,1920,1784743660571
808320,1920,1784743660610
810240,1920,1784743660651
812160,1920,1784743660691
814080,1920,1784743660732
816000,1920,1784743660771
817920,1920,1784743660813
819840,1920,1784743660851
821760,1920,1784743660892
823680,1920,1784743660931
825600,1920,1784743660973
827520,1920,1784743661011
829440,1920,1784743661053
